id,subject,grade,topic,subtopic,difficulty,question_type,question,reference_answer,expected_keywords,source_topic
PHY-001,Physics,M4,Measurement,SI units,Easy,Definition,What is the SI unit of force?,"The SI unit of force is the newton, written as N.",newton; N; force,Physical Quantities and Units
PHY-002,Physics,M4,Measurement,Scientific notation,Easy,Calculation,Write 0.00045 in scientific notation.,0.00045 = 4.5 × 10^-4.,4.5 × 10^-4; scientific notation,Scientific Notation
PHY-003,Physics,M4,Vectors,Scalar vs vector,Easy,Classification,Is velocity a scalar or a vector quantity?,Velocity is a vector quantity because it has both magnitude and direction.,vector; magnitude; direction; velocity,Scalars and Vectors
PHY-004,Physics,M4,Vectors,Vector components,Medium,Calculation,A 10 N force acts horizontally to the right and a 6 N force acts horizontally to the left. What is the net force?,"Taking right as positive, the net force is 10 - 6 = 4 N to the right.",4 N to the right; net force; opposite directions,Vector Addition in One Dimension
PHY-005,Physics,M4,Motion,Speed,Easy,Calculation,A car travels 150 m in 10 s. What is its average speed?,Average speed = distance / time = 150 / 10 = 15 m/s.,15 m/s; distance divided by time,Speed and Velocity
PHY-006,Physics,M4,Motion,Velocity,Easy,Conceptual,What is the difference between speed and velocity?,"Speed describes how fast an object moves, while velocity describes both speed and direction of motion.",speed; velocity; direction,Speed and Velocity
PHY-007,Physics,M4,Motion,Acceleration,Easy,Calculation,An object's velocity changes from 4 m/s to 16 m/s in 3 s. What is its acceleration?,Acceleration = change in velocity / time = (16 - 4) / 3 = 4 m/s^2.,4 m/s^2; change in velocity; time,Acceleration
PHY-008,Physics,M4,Motion,Uniform acceleration,Medium,Calculation,A ball starts from rest and accelerates at 2 m/s^2 for 5 s. What is its final velocity?,"Using v = u + at, v = 0 + (2)(5) = 10 m/s.",10 m/s; v = u + at; acceleration,Kinematic Equations
PHY-009,Physics,M4,Motion,Displacement under acceleration,Medium,Calculation,A car starts from rest and accelerates at 3 m/s^2 for 4 s. How far does it travel?,"Using s = ut + 1/2 at^2 with u = 0, s = 0 + 1/2(3)(4^2) = 24 m.",24 m; s = ut + 1/2at^2,Kinematic Equations
PHY-010,Physics,M4,Graphs of Motion,Velocity-time graph,Medium,Conceptual,What does the slope of a velocity-time graph represent?,The slope of a velocity-time graph represents acceleration.,acceleration; slope; velocity-time graph,Motion Graphs
PHY-011,Physics,M4,Forces,Newton's first law,Easy,Conceptual,State Newton's first law of motion.,An object remains at rest or moves with constant velocity unless acted on by a net external force.,inertia; net external force; constant velocity,Newton's Laws of Motion
PHY-012,Physics,M4,Forces,Newton's second law,Easy,Calculation,A 5 kg object experiences a net force of 20 N. What is its acceleration?,"Using F = ma, a = F/m = 20/5 = 4 m/s^2.",4 m/s^2; F = ma,Newton's Second Law
