id,subject,grade,topic,subtopic,difficulty,question_type,question,reference_answer,expected_keywords,source_topic
BIO-001,Biology,M4,Cell Biology,Cell theory,Easy,Conceptual,State one main idea of cell theory.,One main idea is that all living organisms are made of one or more cells.,all living things made of cells; cell theory,Cell Theory
BIO-002,Biology,M4,Cell Biology,Prokaryotic vs eukaryotic,Easy,Comparison,What is one major difference between prokaryotic and eukaryotic cells?,"Eukaryotic cells contain a membrane-bound nucleus, while prokaryotic cells do not.",nucleus; eukaryotic; prokaryotic,Cell Types
BIO-003,Biology,M4,Cell Organelles,Nucleus,Easy,Definition,What is the main function of the nucleus in a eukaryotic cell?,The nucleus stores genetic material and helps control cell activities.,genetic material; controls cell activities,Cell Organelles
BIO-004,Biology,M4,Cell Organelles,Mitochondria,Easy,Definition,What is the main function of mitochondria?,Mitochondria carry out cellular respiration and produce much of the cell's ATP.,cellular respiration; ATP,Cell Organelles
BIO-005,Biology,M4,Cell Membrane,Selective permeability,Medium,Conceptual,What does it mean that the cell membrane is selectively permeable?,"It allows some substances to pass through more easily than others, helping regulate the cell's internal environment.",selectively permeable; regulate transport,Cell Membrane
BIO-006,Biology,M4,Transport,Diffusion,Easy,Conceptual,What is diffusion?,Diffusion is the net movement of particles from an area of higher concentration to an area of lower concentration.,high to low concentration; passive transport,Diffusion
BIO-007,Biology,M4,Transport,Osmosis,Easy,Definition,What is osmosis?,Osmosis is the diffusion of water across a selectively permeable membrane.,water; selectively permeable membrane; diffusion,Osmosis
BIO-008,Biology,M4,Biomolecules,Carbohydrates,Easy,Conceptual,What is one major function of carbohydrates in cells?,Carbohydrates are commonly used as an immediate energy source and may also provide structural support.,energy source; structure; carbohydrates,Biological Macromolecules
BIO-009,Biology,M4,Biomolecules,Proteins,Medium,Conceptual,Why are proteins important in cells?,"Proteins perform many roles, including acting as enzymes, structural components, transporters, and signals.",enzymes; structure; transport; signaling,Biological Macromolecules
BIO-010,Biology,M4,Enzymes,Activation energy,Medium,Conceptual,How do enzymes speed up biochemical reactions?,Enzymes lower the activation energy required for a reaction to occur.,lower activation energy; enzymes,Enzymes
BIO-011,Biology,M4,Photosynthesis,Overall purpose,Easy,Conceptual,What is the main purpose of photosynthesis?,Photosynthesis converts light energy into chemical energy stored in glucose.,light energy; chemical energy; glucose,Photosynthesis
BIO-012,Biology,M4,Photosynthesis,Reactants,Easy,Definition,What are the main reactants of photosynthesis?,"The main reactants are carbon dioxide and water, using light energy.",carbon dioxide; water; light energy,Photosynthesis
BIO-013,Biology,M4,Cellular Respiration,ATP production,Easy,Conceptual,Why is cellular respiration important to cells?,It releases energy from food molecules and captures much of it in ATP.,releases energy; ATP,Cellular Respiration
BIO-014,Biology,M4,Cellular Respiration,Aerobic respiration,Medium,Conceptual,Why is oxygen important in aerobic cellular respiration?,"Oxygen acts as the final electron acceptor in the electron transport chain, allowing efficient ATP production.",oxygen; final electron acceptor; ATP,Aerobic Respiration
BIO-015,Biology,M4,Cell Division,Mitosis,Easy,Conceptual,What is the main result of mitosis?,Mitosis produces two genetically similar daughter cells from one parent cell.,two daughter cells; genetically similar,Mitosis
BIO-016,Biology,M4,Cell Division,Meiosis,Medium,Conceptual,Why is meiosis important for sexual reproduction?,Meiosis produces haploid gametes and increases genetic variation.,haploid gametes; genetic variation,Meiosis
BIO-017,Biology,M4,Genetics,Gene,Easy,Definition,What is a gene?,"A gene is a segment of DNA that contains instructions for a functional product, often a protein.",DNA segment; instructions; protein,Genes and DNA
BIO-018,Biology,M4,Genetics,Genotype vs phenotype,Medium,Comparison,What is the difference between genotype and phenotype?,"Genotype is an organism's genetic makeup, while phenotype is its observable traits.",genetic makeup; observable traits,Inheritance
BIO-019,Biology,M4,Genetics,Punnett square,Medium,Calculation,"In a cross Aa × Aa, what is the expected genotype ratio?",The expected genotype ratio is 1 AA : 2 Aa : 1 aa.,1:2:1; AA; Aa; aa,Mendelian Genetics
BIO-020,Biology,M4,Genetics,Dominant allele,Easy,Conceptual,What does it mean if an allele is dominant?,A dominant allele can determine the phenotype when at least one copy is present.,expressed with one copy; phenotype,Mendelian Genetics
BIO-021,Biology,M5,DNA and Protein Synthesis,DNA structure,Easy,Conceptual,What are the base-pairing rules in DNA?,"A pairs with T, and C pairs with G.",A-T; C-G; base pairing,DNA Structure
BIO-022,Biology,M5,DNA and Protein Synthesis,Replication,Medium,Conceptual,Why is DNA replication called semiconservative?,Each new DNA molecule contains one original strand and one newly synthesized strand.,one old strand; one new strand; semiconservative,DNA Replication
BIO-023,Biology,M5,DNA and Protein Synthesis,Transcription,Easy,Definition,What is transcription?,Transcription is the process of copying genetic information from DNA into RNA.,DNA to RNA; transcription,Gene Expression
BIO-024,Biology,M5,DNA and Protein Synthesis,Translation,Easy,Definition,What is translation in protein synthesis?,Translation is the process in which ribosomes use mRNA information to build a protein.,mRNA; ribosome; protein,Protein Synthesis
BIO-025,Biology,M5,Evolution,Natural selection,Medium,Conceptual,What is natural selection?,Natural selection is the process in which individuals with heritable traits better suited to the environment tend to survive and reproduce more successfully.,heritable traits; survival; reproduction,Evolution by Natural Selection
BIO-026,Biology,M5,Evolution,Adaptation,Easy,Conceptual,What is an adaptation?,An adaptation is a heritable trait that improves an organism's ability to survive or reproduce in a particular environment.,heritable trait; survival; reproduction,Adaptations
BIO-027,Biology,M5,Classification,Binomial nomenclature,Easy,Definition,What is binomial nomenclature?,Binomial nomenclature is the two-part scientific naming system using genus and species names.,genus; species; two-part name,Classification of Life
BIO-028,Biology,M5,Microbiology,Bacteria,Medium,Conceptual,Why are bacteria classified as prokaryotes?,Bacteria lack a membrane-bound nucleus and other membrane-bound organelles.,no nucleus; prokaryotic,Prokaryotes
BIO-029,Biology,M5,Plants,Xylem,Easy,Definition,What is the main function of xylem tissue in plants?,Xylem transports water and dissolved minerals from roots upward through the plant.,water; minerals; roots upward,Plant Transport
BIO-030,Biology,M5,Plants,Phloem,Easy,Definition,What is the main function of phloem tissue?,Phloem transports sugars and other organic nutrients throughout the plant.,sugars; organic nutrients; transport,Plant Transport
