id,subject,grade,topic,subtopic,difficulty,question_type,question,reference_answer,expected_keywords,source_topic
MATH-001,Mathematics,M4,Sets,Set notation,Easy,Definition,What does the notation A ∪ B mean in set theory?,"A ∪ B is the union of sets A and B. It contains every element that belongs to A, to B, or to both sets.",union; sets; elements in A or B,Sets and Set Operations
MATH-002,Mathematics,M4,Sets,Intersection,Easy,Calculation,"If A = {1, 2, 3, 4} and B = {3, 4, 5, 6}, what is A ∩ B?","A ∩ B is the set of elements common to both sets. Therefore, A ∩ B = {3, 4}.","intersection; common elements; {3, 4}",Sets and Set Operations
MATH-003,Mathematics,M4,Logic,Negation,Easy,Conceptual,What is the negation of the statement 'x is greater than 5'?,The negation is 'x is less than or equal to 5.',negation; less than or equal to 5,Logic and Statements
MATH-004,Mathematics,M4,Logic,Implication,Medium,Conceptual,"For the statement 'If a number is divisible by 4, then it is even,' identify the hypothesis and the conclusion.",The hypothesis is 'a number is divisible by 4.' The conclusion is 'the number is even.',hypothesis; conclusion; divisible by 4; even,Conditional Statements
MATH-005,Mathematics,M4,Real Numbers,Rational vs irrational,Easy,Classification,Is √2 a rational number or an irrational number?,√2 is irrational because it cannot be written as a ratio of two integers.,irrational; ratio of integers; square root of 2,Real Number System
MATH-006,Mathematics,M4,Real Numbers,Exponents,Easy,Calculation,Simplify 2^3 × 2^4.,"When multiplying powers with the same base, add the exponents: 2^3 × 2^4 = 2^7 = 128.",add exponents; 2^7; 128,Exponents
MATH-007,Mathematics,M4,Algebra,Linear equations,Easy,Calculation,Solve 3x + 7 = 22.,"Subtract 7 from both sides to get 3x = 15. Divide by 3, so x = 5.",x = 5; linear equation; subtract 7; divide by 3,Solving Linear Equations
MATH-008,Mathematics,M4,Algebra,Inequalities,Medium,Calculation,Solve the inequality 2x - 5 > 9.,"Add 5 to both sides to get 2x > 14. Divide by 2, so x > 7.",x > 7; inequality; add 5; divide by 2,Linear Inequalities
MATH-009,Mathematics,M4,Functions,Function definition,Easy,Conceptual,What does it mean for a relation to be a function?,A relation is a function if every input is paired with exactly one output.,input; exactly one output; function,Relations and Functions
MATH-010,Mathematics,M4,Functions,Function evaluation,Easy,Calculation,"If f(x) = 2x^2 - 3x + 1, find f(2).",Substitute x = 2: f(2) = 2(2^2) - 3(2) + 1 = 8 - 6 + 1 = 3.,substitution; f(2); 3,Evaluating Functions
MATH-011,Mathematics,M4,Functions,Domain,Medium,Conceptual,What values of x are excluded from the domain of f(x) = 1 / (x - 4)?,x = 4 is excluded because it makes the denominator equal to zero.,domain; denominator zero; x ≠ 4,Domain of Rational Functions
MATH-012,Mathematics,M4,Linear Functions,Slope,Easy,Calculation,What is the slope of the line y = -3x + 8?,"The slope is -3 because the equation is in the form y = mx + b, where m is the slope.",slope; -3; y = mx + b,Slope-Intercept Form
MATH-013,Mathematics,M4,Linear Functions,Equation of a line,Medium,Calculation,Find the equation of the line with slope 2 and y-intercept -5.,"Using y = mx + b with m = 2 and b = -5, the equation is y = 2x - 5.",y = 2x - 5; slope-intercept form,Writing Linear Equations
MATH-014,Mathematics,M4,Quadratic Equations,Factoring,Easy,Calculation,Solve x^2 - 5x + 6 = 0.,"Factor the quadratic as (x - 2)(x - 3) = 0. Therefore, x = 2 or x = 3.",factoring; x = 2; x = 3,Solving Quadratics by Factoring
MATH-015,Mathematics,M4,Quadratic Equations,Discriminant,Medium,Conceptual,What does the discriminant b^2 - 4ac tell us about the roots of a quadratic equation?,"If the discriminant is positive, there are two distinct real roots. If it is zero, there is one repeated real root. If it is negative, there are two non-real complex roots.",positive; zero; negative; roots; discriminant,Quadratic Formula and Discriminant
MATH-016,Mathematics,M4,Quadratic Functions,Vertex,Medium,Calculation,Find the vertex of y = x^2 - 6x + 5.,"The x-coordinate of the vertex is -b/(2a) = 6/2 = 3. Substituting x = 3 gives y = 9 - 18 + 5 = -4. The vertex is (3, -4).","vertex; (3, -4); -b/(2a)",Vertex of a Parabola
MATH-017,Mathematics,M4,Quadratic Functions,Graph interpretation,Medium,Conceptual,"For y = -2x^2 + 4x + 1, does the parabola open upward or downward?",It opens downward because the coefficient of x^2 is negative.,downward; negative leading coefficient,Graphing Quadratic Functions
MATH-018,Mathematics,M4,Polynomials,Degree,Easy,Classification,What is the degree of the polynomial 4x^5 - 2x^3 + x - 7?,The degree is 5 because the highest exponent of x is 5.,degree; 5; highest exponent,Polynomial Degree
MATH-019,Mathematics,M4,Polynomials,Multiplication,Medium,Calculation,Expand (x + 3)(x - 4).,Using distribution: (x + 3)(x - 4) = x^2 - 4x + 3x - 12 = x^2 - x - 12.,x^2 - x - 12; distributive property,Multiplying Binomials
MATH-020,Mathematics,M4,Systems of Equations,Substitution,Medium,Calculation,Solve the system y = x + 2 and 2x + y = 11.,"Substitute y = x + 2 into 2x + y = 11: 2x + x + 2 = 11, so 3x = 9 and x = 3. Then y = 5.",x = 3; y = 5; substitution,Solving Systems by Substitution
MATH-021,Mathematics,M5,Exponential Functions,Growth,Easy,Conceptual,What is the general form of an exponential growth function?,A common form is y = ab^x where a > 0 and b > 1. The base greater than 1 represents growth.,y = ab^x; b > 1; exponential growth,Exponential Growth
MATH-022,Mathematics,M5,Exponential Functions,Evaluation,Easy,Calculation,"If g(x) = 3 × 2^x, find g(4).",g(4) = 3 × 2^4 = 3 × 16 = 48.,48; substitution; exponential,Evaluating Exponential Functions
MATH-023,Mathematics,M5,Logarithms,Definition,Easy,Conceptual,"What does log_10(1000) equal, and why?",log_10(1000) = 3 because 10^3 = 1000.,3; 10^3 = 1000; logarithm,Logarithmic Definition
MATH-024,Mathematics,M5,Logarithms,Properties,Medium,Calculation,Simplify log_2(8) + log_2(4).,"log_2(8) = 3 and log_2(4) = 2, so the sum is 5.",5; log_2(8)=3; log_2(4)=2,Evaluating Logarithms
MATH-025,Mathematics,M5,Trigonometry,Sine ratio,Easy,Definition,"In a right triangle, what does sin θ represent?",sin θ is the ratio of the length of the opposite side to the length of the hypotenuse.,opposite; hypotenuse; sine,Basic Trigonometric Ratios
MATH-026,Mathematics,M5,Trigonometry,Cosine from triangle,Medium,Calculation,"If sin θ = 5/13 for an acute angle, find cos θ.","Using a right triangle, the opposite side is 5 and the hypotenuse is 13. The adjacent side is 12 by the Pythagorean theorem. Therefore, cos θ = 12/13.",12/13; Pythagorean theorem; adjacent; hypotenuse,Right Triangle Trigonometry
MATH-027,Mathematics,M5,Trigonometry,Tangent ratio,Easy,Calculation,"If the opposite side of a right triangle is 6 and the adjacent side is 8, what is tan θ?",tan θ = opposite / adjacent = 6/8 = 3/4.,3/4; tangent; opposite over adjacent,Basic Trigonometric Ratios
MATH-028,Mathematics,M5,Trigonometry,Special angles,Medium,Calculation,What is sin 30°?,sin 30° = 1/2.,1/2; special angle; sine,Special Right Triangles
MATH-029,Mathematics,M5,Trigonometry,Radians,Medium,Conversion,Convert 180° to radians.,180° equals π radians.,π radians; degree-radian conversion,Degrees and Radians
MATH-030,Mathematics,M5,Trigonometry,Identity,Medium,Conceptual,State the Pythagorean identity involving sin θ and cos θ.,The identity is sin^2 θ + cos^2 θ = 1.,sin^2 θ + cos^2 θ = 1; identity,Trigonometric Identities
MATH-031,Mathematics,M5,Sequences,Arithmetic sequences,Easy,Conceptual,What makes a sequence arithmetic?,A sequence is arithmetic if the difference between consecutive terms is constant.,constant difference; arithmetic sequence,Arithmetic Sequences
MATH-032,Mathematics,M5,Sequences,Nth term of arithmetic sequence,Medium,Calculation,"Find the 10th term of the arithmetic sequence 4, 7, 10, 13, ...",The first term is 4 and the common difference is 3. a_10 = 4 + (10 - 1)(3) = 31.,31; a_n = a_1 + (n-1)d; common difference 3,Arithmetic Sequence Formula
MATH-033,Mathematics,M5,Sequences,Geometric sequences,Easy,Conceptual,What makes a sequence geometric?,A sequence is geometric if the ratio between consecutive terms is constant.,constant ratio; geometric sequence,Geometric Sequences
MATH-034,Mathematics,M5,Sequences,Nth term of geometric sequence,Medium,Calculation,"Find the 6th term of the geometric sequence 2, 6, 18, ...",The first term is 2 and the common ratio is 3. a_6 = 2 × 3^5 = 486.,486; a_n = a_1 r^(n-1); ratio 3,Geometric Sequence Formula
MATH-035,Mathematics,M5,Series,Arithmetic series,Medium,Calculation,Find the sum of the first 20 positive integers.,The sum is 20(20 + 1)/2 = 210.,210; arithmetic series; n(n+1)/2,Arithmetic Series
MATH-036,Mathematics,M5,Coordinate Geometry,Distance formula,Medium,Calculation,"Find the distance between (1, 2) and (4, 6).",Distance = √[(4 - 1)^2 + (6 - 2)^2] = √(9 + 16) = √25 = 5.,5; distance formula; square root,Distance in the Coordinate Plane
MATH-037,Mathematics,M5,Coordinate Geometry,Midpoint,Easy,Calculation,"Find the midpoint of the segment joining (2, 4) and (8, 10).","The midpoint is ((2 + 8)/2, (4 + 10)/2) = (5, 7).","(5, 7); midpoint formula",Midpoint Formula
MATH-038,Mathematics,M5,Vectors,Vector addition,Medium,Calculation,"If u = <2, -1> and v = <4, 3>, find u + v.","Add corresponding components: u + v = <2 + 4, -1 + 3> = <6, 2>.","<6, 2>; vector addition; components",Vectors
MATH-039,Mathematics,M5,Vectors,Magnitude,Medium,Calculation,"Find the magnitude of vector <3, 4>.",The magnitude is √(3^2 + 4^2) = √25 = 5.,5; magnitude; Pythagorean theorem,Vector Magnitude
MATH-040,Mathematics,M5,Complex Numbers,Imaginary unit,Easy,Definition,What is i^2 equal to in the complex number system?,i^2 = -1.,-1; imaginary unit,Complex Numbers
MATH-041,Mathematics,M6,Counting,Fundamental counting principle,Easy,Application,A student has 3 shirts and 2 pairs of pants. How many different outfits can be made?,"By the fundamental counting principle, 3 × 2 = 6 different outfits can be made.",6; multiplication principle; outfits,Counting Principle
MATH-042,Mathematics,M6,Permutations,Arrangement,Medium,Calculation,How many ways can 4 different books be arranged on a shelf?,The number of arrangements is 4! = 24.,24; 4 factorial; permutations,Permutations
MATH-043,Mathematics,M6,Combinations,Selection,Medium,Calculation,How many ways can 2 students be chosen from 5 students?,"The number of combinations is C(5, 2) = 10.","10; combinations; C(5,2)",Combinations
MATH-044,Mathematics,M6,Probability,Simple probability,Easy,Calculation,A bag contains 3 red balls and 2 blue balls. What is the probability of drawing a red ball?,"There are 5 balls in total and 3 are red, so the probability is 3/5.",3/5; favorable outcomes; total outcomes,Basic Probability
MATH-045,Mathematics,M6,Probability,Complement rule,Medium,Conceptual,"If the probability that it rains tomorrow is 0.3, what is the probability that it does not rain?",The complement probability is 1 - 0.3 = 0.7.,0.7; complement; 1 - P(event),Complementary Events
MATH-046,Mathematics,M6,Probability,Independent events,Medium,Calculation,A fair coin is tossed twice. What is the probability of getting heads on both tosses?,"Each toss has probability 1/2 of heads. Since the events are independent, the probability is 1/2 × 1/2 = 1/4.",1/4; independent; multiply probabilities,Independent Events
MATH-047,Mathematics,M6,Statistics,Mean,Easy,Calculation,"Find the mean of 4, 6, 8, and 10.",The mean is (4 + 6 + 8 + 10) / 4 = 28 / 4 = 7.,7; average; sum divided by count,Measures of Center
MATH-048,Mathematics,M6,Statistics,Median,Easy,Calculation,"Find the median of 3, 5, 7, 9, 12.","The numbers are already ordered. The middle value is 7, so the median is 7.",7; median; middle value,Measures of Center
MATH-049,Mathematics,M6,Statistics,Standard deviation concept,Medium,Conceptual,What does a larger standard deviation indicate about a data set?,A larger standard deviation means the data values are more spread out from the mean.,spread; variability; mean; standard deviation,Measures of Spread
MATH-050,Mathematics,M6,Statistics,Interpretation,Medium,Conceptual,"Two classes have the same mean test score, but Class A has a much larger standard deviation than Class B. What does this suggest?","It suggests that Class A's scores are more widely spread out, while Class B's scores are more consistent and clustered near the mean.",larger spread; more variation; more consistent,Interpreting Standard Deviation
MATH-051,Mathematics,M6,Limits,Basic limit,Easy,Calculation,Evaluate lim x→2 (x^2 + 3x).,"Because the function is continuous, substitute x = 2: 2^2 + 3(2) = 4 + 6 = 10.",10; direct substitution; continuous,Introduction to Limits
MATH-052,Mathematics,M6,Limits,Indeterminate form,Medium,Calculation,Evaluate lim x→3 (x^2 - 9)/(x - 3).,"Factor the numerator: x^2 - 9 = (x - 3)(x + 3). Cancel x - 3, then evaluate x + 3 at x = 3 to get 6.",6; factor; cancel; limit,Limits Involving Factoring
MATH-053,Mathematics,M6,Derivatives,Derivative meaning,Easy,Conceptual,What does the derivative of a function represent?,"The derivative represents the instantaneous rate of change of the function, or the slope of the tangent line at a point.",instantaneous rate of change; tangent slope; derivative,Introduction to Derivatives
MATH-054,Mathematics,M6,Derivatives,Power rule,Easy,Calculation,Find the derivative of f(x) = x^3.,"Using the power rule, f'(x) = 3x^2.",3x^2; power rule,Power Rule
MATH-055,Mathematics,M6,Derivatives,Polynomial derivative,Medium,Calculation,Find the derivative of f(x) = 4x^3 - 2x^2 + 5x - 7.,Differentiate term by term: f'(x) = 12x^2 - 4x + 5.,12x^2 - 4x + 5; term-by-term derivative,Derivative of Polynomials
MATH-056,Mathematics,M6,Derivatives,Tangent slope,Medium,Application,"For f(x) = x^2 + 1, what is the slope of the tangent line at x = 3?","First find f'(x) = 2x. Then f'(3) = 6, so the slope of the tangent line is 6.",6; f'(3); tangent slope,Derivative as Slope
MATH-057,Mathematics,M6,Integrals,Antiderivative,Easy,Calculation,Find an antiderivative of 2x.,An antiderivative of 2x is x^2 + C.,x^2 + C; antiderivative; constant of integration,Indefinite Integrals
MATH-058,Mathematics,M6,Integrals,Definite integral,Medium,Calculation,Evaluate ∫ from 0 to 2 of x dx.,The antiderivative of x is x^2/2. Evaluating from 0 to 2 gives (2^2/2) - (0^2/2) = 2.,2; definite integral; x^2/2,Definite Integrals
MATH-059,Mathematics,M6,Calculus Applications,Area under curve,Medium,Conceptual,What does a definite integral often represent geometrically?,A definite integral often represents the signed area between a curve and the x-axis over a given interval.,area; curve; x-axis; interval,Area and Definite Integrals
MATH-060,Mathematics,M6,Calculus Applications,Optimization idea,Hard,Conceptual,Why can derivatives be used to find local maximum or minimum values of a differentiable function?,"At an interior local maximum or minimum of a differentiable function, the tangent slope is often zero, so the derivative equals zero at critical points. Testing these points helps identify extrema.",derivative equals zero; critical points; maxima; minima,Optimization and Critical Points
