id,subject,grade,topic,subtopic,difficulty,question_type,question,reference_answer,expected_keywords,source_topic
CHEM-001,Chemistry,M4,Matter,Physical vs chemical change,Easy,Classification,Is melting ice a physical change or a chemical change?,Melting ice is a physical change because water changes state but its chemical identity remains H2O.,physical change; state change; H2O,Properties and Changes of Matter
CHEM-002,Chemistry,M4,Matter,Element vs compound,Easy,Conceptual,What is the difference between an element and a compound?,"An element contains only one type of atom, while a compound contains two or more different elements chemically combined in fixed proportions.",one type of atom; chemically combined; fixed proportions,Elements and Compounds
CHEM-003,Chemistry,M4,Atomic Structure,Subatomic particles,Easy,Definition,Which subatomic particle has a positive charge?,The proton has a positive charge.,proton; positive charge,Atomic Structure
CHEM-004,Chemistry,M4,Atomic Structure,Atomic number,Easy,Calculation,An atom has 17 protons. What is its atomic number?,"The atomic number equals the number of protons, so the atomic number is 17.",17; protons; atomic number,Atomic Number
CHEM-005,Chemistry,M4,Atomic Structure,Mass number,Medium,Calculation,An atom has 11 protons and 12 neutrons. What is its mass number?,Mass number = protons + neutrons = 11 + 12 = 23.,23; protons plus neutrons,Mass Number
CHEM-006,Chemistry,M4,Atomic Structure,Isotopes,Medium,Conceptual,What are isotopes?,Isotopes are atoms of the same element with the same number of protons but different numbers of neutrons.,same protons; different neutrons; same element,Isotopes
CHEM-007,Chemistry,M4,Periodic Table,Groups and periods,Easy,Conceptual,What does a period represent in the periodic table?,A period is a horizontal row in the periodic table.,horizontal row; period,Periodic Table Organization
CHEM-008,Chemistry,M4,Periodic Table,Valence electrons,Medium,Conceptual,Why do elements in the same group often have similar chemical properties?,"They often have the same number of valence electrons, which strongly influences chemical behavior.",same valence electrons; similar properties,Periodic Trends
CHEM-009,Chemistry,M4,Periodic Trends,Atomic radius,Medium,Conceptual,How does atomic radius generally change across a period from left to right?,Atomic radius generally decreases across a period because increasing nuclear charge pulls electrons closer to the nucleus.,decreases; nuclear charge; across a period,Periodic Trends
CHEM-010,Chemistry,M4,Chemical Bonding,Ionic bonding,Easy,Conceptual,What is an ionic bond?,An ionic bond is the electrostatic attraction between oppositely charged ions formed after electron transfer.,electron transfer; oppositely charged ions; attraction,Ionic Bonding
CHEM-011,Chemistry,M4,Chemical Bonding,Covalent bonding,Easy,Conceptual,What is a covalent bond?,A covalent bond forms when atoms share pairs of electrons.,share electrons; covalent bond,Covalent Bonding
CHEM-012,Chemistry,M4,Chemical Bonding,Bond type,Medium,Classification,Is NaCl mainly ionic or covalent?,"NaCl is mainly ionic because sodium transfers an electron to chlorine, forming Na+ and Cl- ions.",ionic; Na+; Cl-; electron transfer,Ionic Compounds
CHEM-013,Chemistry,M4,Mole Concept,Avogadro's number,Easy,Definition,What does one mole represent?,"One mole represents 6.022 × 10^23 particles, such as atoms, molecules, or ions.",6.022 × 10^23; particles; mole,The Mole
CHEM-014,Chemistry,M4,Mole Concept,Molar mass,Easy,Calculation,What is the molar mass of H2O? Use H = 1 and O = 16.,Molar mass of H2O = 2(1) + 16 = 18 g/mol.,18 g/mol; H2O; molar mass,Molar Mass
CHEM-015,Chemistry,M4,Stoichiometry,Moles from mass,Medium,Calculation,How many moles are in 36 g of water if the molar mass of water is 18 g/mol?,Moles = mass / molar mass = 36 / 18 = 2 mol.,2 mol; mass divided by molar mass,Mole Calculations
CHEM-016,Chemistry,M4,Chemical Equations,Balancing,Medium,Calculation,Balance the equation: H2 + O2 → H2O.,The balanced equation is 2H2 + O2 → 2H2O.,2H2 + O2 → 2H2O; balanced equation,Balancing Chemical Equations
